question_id,medium,subject,class_level,chapter,topic,subtopic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation
APSGT-TEL-HQ-0011,Telugu,Telugu,SGT,వ్యాకరణం,సమాసాలు,బహువ్రీహి సమాసం,Hard,Analysis,'నీలకంఠుడు' అనే పదం ఏ సమాసానికి ఉదాహరణ?,కర్మధారయ సమాసం,ద్విగు సమాసం,ద్వంద్వ సమాసం,బహువ్రీహి సమాసం,D,'నీలమైన కంఠము కలవాడు' అని విగ్రహవాక్యం. అర్థం సమాసంలోని పదాల్లో కాకుండా బయటి వ్యక్తిని (శివుణ్ణి) సూచిస్తుంది. ఇది అన్యపదార్థ ప్రధానమైన బహువ్రీహి సమాసం.
APSGT-TEL-HQ-0012,Telugu,Telugu,SGT,వ్యాకరణం,సమాసాలు,ద్విగు సమాసం,Medium,MCQ,'త్రిలోకాలు' అనే పదం ఏ సమాసం?,ద్వంద్వ సమాసం,అవ్యయీభావ సమాసం,ద్విగు సమాసం,బహువ్రీహి సమాసం,C,'మూడు లోకముల సమాహారం' అని విగ్రహవాక్యం. పూర్వపదం సంఖ్యావాచకమైన సమాసం ద్విగు సమాసం.
APSGT-TEL-HQ-0013,Telugu,Telugu,SGT,వ్యాకరణం,సమాసాలు,కర్మధారయ సమాసం,Medium,MCQ,'నీలమేఘం' అనే పదానికి సరైన విగ్రహవాక్యం ఏది?,నీలము యొక్క మేఘం,నీలమైన మేఘం,నీలము కలిగిన వాడు,నీలము మరియు మేఘం,B,"విశేషణం, విశేష్యం కలిసిన సమాసం కర్మధారయం. 'నీలమైన మేఘం' అని విగ్రహవాక్యం."
APSGT-TEL-HQ-0014,Telugu,Telugu,SGT,వ్యాకరణం,సమాసాలు,అవ్యయీభావ సమాసం,Hard,MCQ,'యథాశక్తి' అనే పదం ఏ సమాసానికి ఉదాహరణ?,బహువ్రీహి సమాసం,అవ్యయీభావ సమాసం,తత్పురుష సమాసం,ద్విగు సమాసం,B,"పూర్వపదం అవ్యయమై, ఆ అవ్యయార్థమే ప్రధానమైన సమాసం అవ్యయీభావం. 'శక్తిని అనుసరించి' అని అర్థం."
APSGT-TEL-HQ-0015,Telugu,Telugu,Class 9,వ్యాకరణం,సమాసాలు,తత్పురుష సమాసం,Easy,MCQ,'దేవాలయం' అనే పదానికి సరైన విగ్రహవాక్యం ఏది?,దేవుడు మరియు ఆలయం,ఆలయం కలిగిన దేవుడు,దేవుని వంటి ఆలయం,దేవుని యొక్క ఆలయం,D,దేవ + ఆలయం = దేవాలయం. 'దేవుని యొక్క ఆలయం' అని విగ్రహవాక్యం కాబట్టి ఇది షష్ఠీ తత్పురుష సమాసం.
APSGT-TEL-HQ-0016,Telugu,Telugu,SGT,అలంకారాలు,అలంకారాలు,ఉపమాలంకారం,Easy,Application,'ఆమె ముఖము చంద్రుని వలె ప్రకాశించింది' అనే వాక్యంలో ఉన్న అలంకారం ఏది?,ఉపమాలంకారం,రూపకాలంకారం,ఉత్ప్రేక్షాలంకారం,అతిశయోక్తి అలంకారం,A,'వలె' అనే ఉపమావాచకంతో ఉపమేయాన్ని (ముఖం) ఉపమానంతో (చంద్రుడు) పోల్చారు. ఇది ఉపమాలంకారం.
APSGT-TEL-HQ-0017,Telugu,Telugu,SGT,అలంకారాలు,అలంకారాలు,రూపకాలంకారం,Medium,Application,'ఆమె ముఖమే చంద్రుడు' అనే వాక్యంలోని అలంకారం ఏది?,ఉపమాలంకారం,యమకాలంకారం,శ్లేషాలంకారం,రూపకాలంకారం,D,ఇక్కడ ఉపమేయానికీ ఉపమానానికీ భేదం లేకుండా అభేదంగా చెప్పారు. ఉపమానాన్ని ఉపమేయంపై ఆరోపించడం రూపకాలంకారం.
APSGT-TEL-HQ-0018,Telugu,Telugu,SGT,అలంకారాలు,అలంకారాలు,ఉత్ప్రేక్షాలంకారం,Hard,MCQ,ఉత్ప్రేక్షాలంకారం లక్షణం ఏది?,ఉపమేయాన్ని ఉపమానంగా ఊహించడం,ఉపమేయానికీ ఉపమానానికీ అభేదం చెప్పడం,ఒకే హల్లు పలుమార్లు ఆవృత్తి కావడం,ఒకే పదానికి అనేక అర్థాలు ఉండటం,A,"ఉపమేయాన్ని ఉపమానంగా ఊహించడమే ఉత్ప్రేక్ష. సాధారణంగా 'అనునట్లు', 'ఏమో' వంటి ఊహావాచకాలు ఉంటాయి."
APSGT-TEL-HQ-0019,Telugu,Telugu,SGT,అలంకారాలు,అలంకారాలు,వృత్త్యనుప్రాస,Medium,MCQ,ఒకే హల్లు అనేకసార్లు ఆవృత్తి కావడం వల్ల ఏర్పడే అలంకారం ఏది?,వృత్త్యనుప్రాస,అంత్యానుప్రాస,యమకాలంకారం,శ్లేషాలంకారం,A,ఒకే హల్లు పలుమార్లు ఆవృత్తి కావడాన్ని వృత్త్యనుప్రాస అంటారు. ఇది శబ్దాలంకారం.
APSGT-TEL-HQ-0020,Telugu,Telugu,SGT,అలంకారాలు,అలంకారాలు,శ్లేషాలంకారం,Hard,MCQ,ఒకే పదం అనేక అర్థాలను ఇచ్చేలా ప్రయోగించడం వల్ల ఏర్పడే అలంకారం ఏది?,రూపకాలంకారం,అతిశయోక్తి అలంకారం,ఉపమాలంకారం,శ్లేషాలంకారం,D,'శ్లేష' అంటే అతుకు. ఒకే పదం రెండు లేదా అంతకంటే ఎక్కువ అర్థాలను ఇచ్చినప్పుడు శ్లేషాలంకారం ఏర్పడుతుంది.
APSGT-TEL-HQ-0021,Telugu,Telugu,SGT,అలంకారాలు,అలంకారాలు,అతిశయోక్తి అలంకారం,Medium,MCQ,వర్ణనలో ఉన్నదానికంటే ఎక్కువగా పెంచి చెప్పడం వల్ల ఏర్పడే అలంకారం ఏది?,రూపకాలంకారం,అతిశయోక్తి అలంకారం,ఉపమాలంకారం,వృత్త్యనుప్రాస,B,"లోకసామాన్యాన్ని మించి, ఉన్నదానికంటే అధికంగా వర్ణించడం అతిశయోక్తి అలంకారం."
APSGT-TEL-HQ-0022,Telugu,Telugu,SGT,ఛందస్సు,ఛందస్సు,వృత్తాలు,Medium,MCQ,ఉత్పలమాల పద్యంలో ఒక్కో పాదంలో ఎన్ని అక్షరాలు ఉంటాయి?,21,19,20,18,C,ఉత్పలమాల వృత్తంలో ప్రతి పాదానికి 20 అక్షరాలు ఉంటాయి. ఇది సంస్కృత వృత్తాలలో ఒకటి.
APSGT-TEL-HQ-0023,Telugu,Telugu,SGT,ఛందస్సు,ఛందస్సు,వృత్తాలు,Medium,MCQ,చంపకమాల పద్యంలో ఒక్కో పాదంలో ఎన్ని అక్షరాలు ఉంటాయి?,21,22,20,19,A,చంపకమాల వృత్తంలో ప్రతి పాదానికి 21 అక్షరాలు ఉంటాయి.
APSGT-TEL-HQ-0024,Telugu,Telugu,SGT,ఛందస్సు,ఛందస్సు,కందపద్యం,Easy,MCQ,కంద పద్యంలో ఎన్ని పాదాలు ఉంటాయి?,నాలుగు,ఆరు,మూడు,రెండు,A,కంద పద్యంలో నాలుగు పాదాలు ఉంటాయి. ఇది మాత్రాఛందస్సుకు చెందిన ప్రసిద్ధ పద్యరూపం.
APSGT-TEL-HQ-0025,Telugu,Telugu,SGT,ఛందస్సు,ఛందస్సు,దేశీ ఛందస్సు,Hard,MCQ,కింది వాటిలో తెలుగు దేశీ ఛందస్సుకు చెందిన పద్యరూపం ఏది?,ఆటవెలది,శార్దూలవిక్రీడితం,ఉత్పలమాల,మత్తేభవిక్రీడితం,A,ఆటవెలది తెలుగు దేశీ ఛందస్సుకు చెందిన పద్యరూపం. మిగిలిన మూడూ సంస్కృత వృత్తాలు.
APSGT-TEL-HQ-0026,Telugu,Telugu,SGT,వ్యాకరణం,విభక్తులు,తృతీయా విభక్తి,Medium,MCQ,"'చేత, చే, తోడ, తో' అనే ప్రత్యయాలు ఏ విభక్తికి చెందుతాయి?",చతుర్థీ విభక్తి,తృతీయా విభక్తి,ద్వితీయా విభక్తి,పంచమీ విభక్తి,B,"'చేత, చే, తోడ, తో' అనేవి తృతీయా విభక్తి ప్రత్యయాలు. ఇవి కరణార్థాన్ని సూచిస్తాయి."
APSGT-TEL-HQ-0027,Telugu,Telugu,SGT,వ్యాకరణం,విభక్తులు,చతుర్థీ విభక్తి,Medium,MCQ,"'కొఱకు, కై' అనే ప్రత్యయాలు ఏ విభక్తికి చెందుతాయి?",పంచమీ విభక్తి,తృతీయా విభక్తి,చతుర్థీ విభక్తి,షష్ఠీ విభక్తి,C,"'కొఱకు, కై' చతుర్థీ విభక్తి ప్రత్యయాలు. ఇవి ప్రయోజనాన్ని సూచిస్తాయి."
APSGT-TEL-HQ-0028,Telugu,Telugu,SGT,వ్యాకరణం,విభక్తులు,పంచమీ విభక్తి,Hard,MCQ,"'వలన, కంటె, పట్టి' అనే ప్రత్యయాలు ఏ విభక్తికి చెందుతాయి?",తృతీయా విభక్తి,సప్తమీ విభక్తి,పంచమీ విభక్తి,చతుర్థీ విభక్తి,C,"'వలన, కంటె, పట్టి' పంచమీ విభక్తి ప్రత్యయాలు. ఇవి అపాదానాన్ని, పోలికను సూచిస్తాయి."
APSGT-TEL-HQ-0029,Telugu,Telugu,SGT,వ్యాకరణం,విభక్తులు,షష్ఠీ విభక్తి,Medium,MCQ,"'కి, కు, యొక్క, లోపల' అనే ప్రత్యయాలు ఏ విభక్తికి చెందుతాయి?",ప్రథమా విభక్తి,షష్ఠీ విభక్తి,ద్వితీయా విభక్తి,సప్తమీ విభక్తి,B,"'కి, కు, యొక్క, లోన, లోపల' షష్ఠీ విభక్తి ప్రత్యయాలు. ఇవి సంబంధాన్ని సూచిస్తాయి."
APSGT-TEL-HQ-0030,Telugu,Telugu,SGT,వ్యాకరణం,విభక్తులు,ప్రథమా విభక్తి,Easy,MCQ,"'డు, ము, వు, లు' అనే ప్రత్యయాలు ఏ విభక్తికి చెందుతాయి?",ప్రథమా విభక్తి,షష్ఠీ విభక్తి,సప్తమీ విభక్తి,ద్వితీయా విభక్తి,A,"'డు, ము, వు, లు' ప్రథమా విభక్తి ప్రత్యయాలు. ఇవి కర్తను సూచిస్తాయి."
APSGT-TEL-HQ-0031,Telugu,Telugu,Class 7,పదజాలం,పర్యాయపదాలు,ప్రకృతి పదాలు,Easy,MCQ,'అడవి' అనే పదానికి పర్యాయపదం ఏది?,సాగరం,అరణ్యం,గగనం,ధరిత్రి,B,"'అడవి'కి అరణ్యం, వనం, కాననం అనేవి పర్యాయపదాలు. సాగరం అంటే సముద్రం, గగనం అంటే ఆకాశం, ధరిత్రి అంటే భూమి."
APSGT-TEL-HQ-0032,Telugu,Telugu,Class 6,పదజాలం,పర్యాయపదాలు,ప్రకృతి పదాలు,Easy,MCQ,'నీరు' అనే పదానికి పర్యాయపదం ఏది?,పవనం,భూమి,అనలం,జలం,D,"'నీరు'కి జలం, ఉదకం, సలిలం, తోయం అనేవి పర్యాయపదాలు. అనలం అంటే అగ్ని, పవనం అంటే గాలి."
APSGT-TEL-HQ-0033,Telugu,Telugu,Class 8,పదజాలం,పర్యాయపదాలు,ప్రకృతి పదాలు,Medium,MCQ,'ఆకాశం' అనే పదానికి పర్యాయపదం ఏది?,అనిలం,గగనం,అవని,సలిలం,B,"'ఆకాశం'కి గగనం, నభం, అంబరం, వ్యోమం అనేవి పర్యాయపదాలు. అవని అంటే భూమి, అనిలం అంటే గాలి, సలిలం అంటే నీరు."
APSGT-TEL-HQ-0034,Telugu,Telugu,Class 7,పదజాలం,పర్యాయపదాలు,ప్రకృతి పదాలు,Medium,MCQ,'సూర్యుడు' అనే పదానికి పర్యాయపదం ఏది?,వసుధ,శశి,భానుడు,పావకుడు,C,"'సూర్యుడు'కి భానుడు, రవి, ఆదిత్యుడు, భాస్కరుడు అనేవి పర్యాయపదాలు. శశి అంటే చంద్రుడు, వసుధ అంటే భూమి, పావకుడు అంటే అగ్ని."
APSGT-TEL-HQ-0035,Telugu,Telugu,Class 8,పదజాలం,పర్యాయపదాలు,ప్రకృతి పదాలు,Medium,MCQ,'భూమి' అనే పదానికి పర్యాయపదం ఏది?,ధరిత్రి,తోయం,అంబరం,నభం,A,"'భూమి'కి ధరిత్రి, అవని, వసుధ, పృథ్వి అనేవి పర్యాయపదాలు. అంబరం, నభం అంటే ఆకాశం; తోయం అంటే నీరు."
APSGT-TEL-HQ-0036,Telugu,Telugu,SGT,పదజాలం,నానార్థాలు,బహ్వర్థక పదాలు,Hard,MCQ,'అంబరం' అనే పదానికి గల నానార్థాలు ఏవి?,"భూమి, పర్వతం","చెట్టు, పండు","ఆకాశం, వస్త్రం","నీరు, అగ్ని",C,'అంబరం' అనే పదానికి ఆకాశం అనే అర్థంతో పాటు వస్త్రం అనే అర్థం కూడా ఉంది.
APSGT-TEL-HQ-0037,Telugu,Telugu,SGT,పదజాలం,నానార్థాలు,బహ్వర్థక పదాలు,Hard,MCQ,'హరి' అనే పదానికి గల నానార్థాలు ఏవి?,"బ్రహ్మ, పర్వతం","శివుడు, నది","అగ్ని, గాలి","విష్ణువు, సింహం",D,"'హరి' అనే పదానికి విష్ణువు, సింహం, కోతి, సూర్యుడు మొదలైన అర్థాలు ఉన్నాయి."
APSGT-TEL-HQ-0038,Telugu,Telugu,SGT,పదజాలం,నానార్థాలు,బహ్వర్థక పదాలు,Hard,MCQ,'కరం' అనే పదానికి గల నానార్థాలు ఏవి?,"చెవి, శబ్దం","కాలు, నడక","చేయి, పన్ను","కన్ను, చూపు",C,'కరం' అనే పదానికి చేయి అనే అర్థంతో పాటు పన్ను (శిస్తు) అనే అర్థం కూడా ఉంది.
APSGT-TEL-HQ-0039,Telugu,Telugu,Class 7,పదజాలం,ప్రకృతి–వికృతి,వికృతి పదాలు,Easy,MCQ,'భాష' అనే ప్రకృతి పదానికి వికృతి ఏది?,పాస,బాస,భాసు,బాష,B,'భాష' అనే సంస్కృత ప్రకృతి పదానికి తెలుగులో 'బాస' అనేది వికృతి రూపం.
APSGT-TEL-HQ-0040,Telugu,Telugu,Class 7,పదజాలం,ప్రకృతి–వికృతి,వికృతి పదాలు,Easy,MCQ,'విద్య' అనే ప్రకృతి పదానికి వికృతి ఏది?,విద్దె,విదియ,విద్దియ,వేద,A,'విద్య' అనే ప్రకృతి పదానికి 'విద్దె' అనేది వికృతి రూపం.
APSGT-TEL-HQ-0041,Telugu,Telugu,Class 8,పదజాలం,ప్రకృతి–వికృతి,వికృతి పదాలు,Medium,MCQ,'రాత్రి' అనే ప్రకృతి పదానికి వికృతి ఏది?,రాతి,నిశి,రాతిరి,రేయి,D,"'రాత్రి' అనే ప్రకృతి పదానికి 'రేయి' అనేది వికృతి రూపం. 'నిశి' అనేది పర్యాయపదం, వికృతి కాదు."
APSGT-TEL-HQ-0042,Telugu,Telugu,Class 8,పదజాలం,ప్రకృతి–వికృతి,వికృతి పదాలు,Medium,MCQ,'అగ్ని' అనే ప్రకృతి పదానికి వికృతి ఏది?,పావకం,అగ్గి,అగిని,అనలం,B,"'అగ్ని' అనే ప్రకృతి పదానికి 'అగ్గి' అనేది వికృతి రూపం. అనలం, పావకం అనేవి పర్యాయపదాలు."
APSGT-TEL-HQ-0043,Telugu,Telugu,Class 9,పదజాలం,ప్రకృతి–వికృతి,వికృతి పదాలు,Medium,MCQ,'ముఖము' అనే ప్రకృతి పదానికి వికృతి ఏది?,ముఖరి,ముకము,మొగము,మోము,C,'ముఖము' అనే ప్రకృతి పదానికి 'మొగము' అనేది వికృతి రూపం.
APSGT-TEL-HQ-0044,Telugu,Telugu,SGT,పదజాలం,జాతీయాలు,జాతీయాల భావం,Medium,Application,'చేతులెత్తేయడం' అనే జాతీయం భావం ఏమిటి?,ఆశీర్వదించడం,గట్టిగా పట్టుబట్టడం,ప్రయత్నం మానుకొని ఓటమిని అంగీకరించడం,అతిగా సంతోషించడం,C,"'చేతులెత్తేయడం' అంటే ఇక సాధ్యం కాదని ప్రయత్నాన్ని విరమించుకోవడం, ఓటమిని అంగీకరించడం."
APSGT-TEL-HQ-0045,Telugu,Telugu,SGT,పదజాలం,జాతీయాలు,జాతీయాల భావం,Medium,Application,'నీళ్లు నమలడం' అనే జాతీయం భావం ఏమిటి?,ఆలోచించి నిర్ణయించడం,సమాధానం చెప్పలేక తడబడటం,నెమ్మదిగా భోజనం చేయడం,దాహం తీర్చుకోవడం,B,"'నీళ్లు నమలడం' అంటే సరైన సమాధానం చెప్పలేక తడబడటం, సంశయించడం."
APSGT-TEL-HQ-0046,Telugu,Telugu,SGT,పదజాలం,జాతీయాలు,జాతీయాల భావం,Hard,Application,'కాలు దువ్వడం' అనే జాతీయం భావం ఏమిటి?,విశ్రాంతి తీసుకోవడం,గౌరవం చూపడం,వేగంగా నడవడం,కయ్యానికి సిద్ధపడటం,D,"'కాలు దువ్వడం' అంటే గొడవకు, కయ్యానికి సిద్ధపడటం, రెచ్చగొట్టడం."
APSGT-TEL-HQ-0047,Telugu,Telugu,SGT,పదజాలం,జాతీయాలు,జాతీయాల భావం,Hard,Application,'ముక్కుపిండి వసూలు చేయడం' అనే జాతీయం భావం ఏమిటి?,బలవంతంగా పూర్తిగా రాబట్టడం,అప్పు క్షమించడం,మెల్లగా అడిగి తీసుకోవడం,కొంత భాగం మాత్రమే తీసుకోవడం,A,"'ముక్కుపిండి వసూలు చేయడం' అంటే బలవంతంగా, ఏమాత్రం వదలకుండా పూర్తిగా రాబట్టడం."
APSGT-TEL-HQ-0048,Telugu,Telugu,SGT,పదజాలం,సామెతలు,సామెతల భావం,Easy,Application,'దూరపు కొండలు నునుపు' అనే సామెత భావం ఏమిటి?,ప్రయాణం చేయడం మంచిది,కొండలు ఎక్కడం కష్టం,"దూరంగా ఉన్నవి అందంగా, సులభంగా కనిపిస్తాయి",దూరదృష్టి అవసరం,C,"దూరం నుంచి చూసినప్పుడు వస్తువులు నునుపుగా, అందంగా కనిపిస్తాయి; దగ్గరకు వెళ్తే కష్టాలు తెలుస్తాయి అని భావం."
APSGT-TEL-HQ-0049,Telugu,Telugu,SGT,పదజాలం,సామెతలు,సామెతల భావం,Medium,Application,'అతి సర్వత్ర వర్జయేత్' అనే సామెత భావం ఏమిటి?,ఏ విషయంలోనైనా అతి పనికిరాదు,అన్ని చోట్లా ప్రయాణించాలి,ఎక్కువ సంపాదించాలి,అన్నింటినీ వదిలివేయాలి,A,'అతి' అంటే మితిమీరడం. ఏ విషయంలోనైనా మితిమీరిన ప్రవర్తన హానికరమని ఈ సామెత భావం.
APSGT-TEL-HQ-0050,Telugu,Telugu,SGT,పదజాలం,సామెతలు,సామెతల భావం,Medium,Application,'ఆడలేక మద్దెల ఓడు' అనే సామెత భావం ఏమిటి?,తన అసమర్థతను ఇతరులపై నెట్టడం,వాయిద్యాలు జాగ్రత్తగా చూసుకోవాలి,సంగీతం నేర్చుకోవాలి,ఆటలో గెలవడం ముఖ్యం,A,"తనకు ఆడటం రాకపోతే మద్దెలను నిందించడం అంటే, తన లోపాన్ని ఒప్పుకోకుండా ఇతరులపై నెపం వేయడం."
APSGT-TEL-HQ-0051,Telugu,Telugu,SGT,పదజాలం,సామెతలు,సామెతల భావం,Hard,Application,'కుక్కతోక పట్టుకొని గోదావరి ఈదడం' అనే సామెత భావం ఏమిటి?,జంతువులను ప్రేమించాలి,ధైర్యంగా ముందుకు సాగాలి,తగని ఆధారంతో పెద్ద పని సాధించాలనుకోవడం,నదిలో ఈదడం ప్రమాదకరం,C,"అసమర్థమైన, తగని సాధనంతో గొప్ప కార్యాన్ని సాధించాలని ప్రయత్నించడాన్ని ఈ సామెత సూచిస్తుంది."
APSGT-TEL-HQ-0052,Telugu,Telugu,SGT,సాహిత్యం,కవులు–రచనలు,కవిత్రయం,Easy,MCQ,ఆంధ్ర మహాభారత రచనను ప్రారంభించిన కవి ఎవరు?,పోతన,నన్నయ,తిక్కన,ఎర్రాప్రగడ,B,"నన్నయ ఆంధ్ర మహాభారత రచనను ప్రారంభించాడు. తిక్కన, ఎర్రాప్రగడలతో కలిసి వీరిని కవిత్రయం అంటారు."
APSGT-TEL-HQ-0053,Telugu,Telugu,SGT,సాహిత్యం,కవులు–రచనలు,కవి బిరుదులు,Medium,MCQ,'ఆదికవి' అనే బిరుదు ఏ తెలుగు కవికి ఉంది?,పోతన,అల్లసాని పెద్దన,శ్రీనాథుడు,నన్నయ,D,తెలుగు సాహిత్యంలో మొదటి కావ్యరచన చేసినందున నన్నయను 'ఆదికవి' అని పిలుస్తారు.
APSGT-TEL-HQ-0054,Telugu,Telugu,SGT,సాహిత్యం,కవులు–రచనలు,భక్తి సాహిత్యం,Easy,MCQ,'శ్రీమదాంధ్ర మహాభాగవతం' రచించిన కవి ఎవరు?,పోతన,తిక్కన,శ్రీనాథుడు,నన్నయ,A,బమ్మెర పోతన 'శ్రీమదాంధ్ర మహాభాగవతాన్ని' తెలుగులో రచించాడు.
APSGT-TEL-HQ-0055,Telugu,Telugu,SGT,సాహిత్యం,కవులు–రచనలు,ఆధునిక సాహిత్యం,Easy,MCQ,'కన్యాశుల్కం' నాటకాన్ని రచించినది ఎవరు?,విశ్వనాథ సత్యనారాయణ,శ్రీశ్రీ,గురజాడ అప్పారావు,జాషువా,C,గురజాడ అప్పారావు 'కన్యాశుల్కం' నాటకాన్ని రచించాడు. ఇది తెలుగు సాంఘిక నాటకాలలో ప్రసిద్ధమైనది.
APSGT-TEL-HQ-0056,Telugu,Telugu,SGT,సాహిత్యం,కవులు–రచనలు,ఆధునిక సాహిత్యం,Easy,MCQ,'మహాప్రస్థానం' కావ్యాన్ని రచించినది ఎవరు?,జాషువా,గురజాడ అప్పారావు,శ్రీశ్రీ,దాశరథి,C,శ్రీరంగం శ్రీనివాసరావు (శ్రీశ్రీ) 'మహాప్రస్థానం' కావ్యాన్ని రచించాడు. ఇది అభ్యుదయ కవిత్వానికి ప్రతీక.
APSGT-TEL-HQ-0057,Telugu,Telugu,SGT,సాహిత్యం,కవులు–రచనలు,పురస్కారాలు,Medium,MCQ,'రామాయణ కల్పవృక్షం' రచనకు జ్ఞానపీఠ పురస్కారం పొందిన తెలుగు కవి ఎవరు?,శ్రీశ్రీ,జాషువా,దాశరథి,విశ్వనాథ సత్యనారాయణ,D,విశ్వనాథ సత్యనారాయణ 'రామాయణ కల్పవృక్షం' రచనకు జ్ఞానపీఠ పురస్కారం పొందాడు. ఆయన తొలి తెలుగు జ్ఞానపీఠ గ్రహీత.
